tarih,gun,ogun,yemekler,kalem_sayisi,kaynak
2026-03-01,Pazar,Öğle,MERCİMEK ÇORBASI | ETLİ KURU FASULYE / MEVSİM TÜRLÜ | TEREYAĞLI ŞEHRİYELİ PİRİNÇ PİLAVI | PORTAKALLI REVANİ,4,Ankara Üniversitesi Yemek Listesi
2026-03-02,Pazartesi,Öğle,TARHANA ÇORBA | IZGARA KÖFTE+KÖZ SEBZE / KARNABAHAR PANE | SALÇALI MAKARNA | HAYDARİ,4,Ankara Üniversitesi Yemek Listesi
2026-03-03,Salı,Öğle,YAYLA ÇORBASI | TAVUK ŞİŞ+LAVAŞ+YEŞİL SALATA / MANTAR SOTE | TEREYAĞLI MERCİMEKLİ BULGUR PİLAVI | TRİLEÇE,4,Ankara Üniversitesi Yemek Listesi
2026-03-04,Çarşamba,Öğle,ŞEHRİYE ÇORBASI | ETLİ ÇÖKERTME KEBABI / BEZELYE YEMEĞİ | TEREYAĞLI PİRİNÇ PİLAVI | MEVSİM SALATA,4,Ankara Üniversitesi Yemek Listesi
2026-03-05,Perşembe,Öğle,MERCİMEK ÇORBASI | KÖRİ SOSLU TAVUK+PATATES KIZARTMASI / KARIŞIK DOLMA + YOĞURT | PENNE NAPOLİTEN | PORTAKAL,4,Ankara Üniversitesi Yemek Listesi
2026-03-06,Cuma,Öğle,KRUTONLU DOMATES ÇORBA | İZMİR KÖFTE / TAZE FASULYE YEMEĞİ | TEREYAĞLI NOHUTLU PİRİNÇ PİLAVI | CEVİZLİ BAKLAVA / KADAYIF,4,Ankara Üniversitesi Yemek Listesi
2026-03-07,Cumartesi,Öğle,EZOGELİN ÇORBA | TAVUK ŞİNİTZEL+ELMA DİLİM PATATES+SOĞAN HALKASI / KAŞARLI SEBZE GRATEN | SALÇALI MAKARNA | MERCİMEK KÖFTESİ+MARUL,4,Ankara Üniversitesi Yemek Listesi
2026-03-08,Pazar,Öğle,TARHANA ÇORBA | ÇİFTLİK KEBABI / İMAM BAYILDI | TEREYAĞLI ŞEHRİYELİ PİRİNÇ PİLAVI | CACIK,4,Ankara Üniversitesi Yemek Listesi
2026-03-09,Pazartesi,Öğle,MERCİMEK ÇORBASI | TAVUK KÜLBASTI+PATATES PÜRESİ / ISPANAK KAVURMA+YOĞURT | SPAGETTİ NAPOLİTEN | KALBURABASTI,4,Ankara Üniversitesi Yemek Listesi
2026-03-10,Salı,Öğle,"ERİŞTELİ YEŞİL MERCİMEK ÇORBASI | HAMBURGER(80-100 GR HAMBURGER EKMEĞİ İÇERİSİNDE DOMATES, MARUL, KORNİŞON TURŞU İLE) / HALEP DOLMA | PATATES KIZARTMASI | AYRAN",4,Ankara Üniversitesi Yemek Listesi
2026-03-11,Çarşamba,Öğle,DOMATES ÇORBA | KAŞARLI TAVUK GRATEN / MÜCVER+YOĞURT | SALÇALI MAKARNA | MISIRLI HAVUÇLU AYSBERG SALATA,4,Ankara Üniversitesi Yemek Listesi
2026-03-12,Perşembe,Öğle,ŞEHRİYE ÇORBASI | MACAR GULAŞ / SOSLU KARIŞIK KIZARTMA | TEREYAĞLI PİRİNÇ PİLAVI | PEMBE SULTAN,4,Ankara Üniversitesi Yemek Listesi
2026-03-13,Cuma,Öğle,EZOGELİN ÇORBA | ÇITIR TAVUK+PATATES KIZARTMASI+SOĞAN HALKASI / PIRASA YEMEĞİ | FIRIN MAKARNA | HOŞAF-KOMPOSTO,4,Ankara Üniversitesi Yemek Listesi
2026-03-14,Cumartesi,Öğle,TARHANA ÇORBA | ETSİZ NOHUT YEMEĞİ / TAZE FASULYE YEMEĞİ | TEREYAĞLI ŞEHRİYELİ PİRİNÇ PİLAVI | ÇİKOLATALI YAŞ PASTA,4,Ankara Üniversitesi Yemek Listesi
2026-03-15,Pazar,Öğle,MERCİMEK ÇORBASI | TAVUK IZGARA+SEBZE SOTE / KARNABAHAR PANE+YOĞURT | GARNİTÜRLÜ ARPA ŞEHRİYE PİLAVI | EZME,4,Ankara Üniversitesi Yemek Listesi
2026-03-16,Pazartesi,Öğle,YAYLA ÇORBASI | ÇOBAN KAVURMA+KÜP PATATES / MEVSİM TÜRLÜ | TEREYAĞLI BULGUR PİLAVI | CEVİZLİ BAKLAVA / KADAYIF,4,Ankara Üniversitesi Yemek Listesi
2026-03-17,Salı,Öğle,"DOMATES ÇORBA | HAŞLANMIŞ TAVUK FİLETO(DİDİLMİŞ)+KORNİŞON TURŞU, HAVUÇ, MOR LAHANA / İMAM BAYILDI | TEREYAĞLI NOHUTLU PİRİNÇ PİLAVI | AYRAN",4,Ankara Üniversitesi Yemek Listesi
2026-03-18,Çarşamba,Öğle,EZOGELİN ÇORBA | İNEGÖL KÖFTE+PİYAZ / LAHANA SARMA | SALÇALI MAKARNA | YOĞURTLU KÖZ BİBERLİ MISIRLI KORNİŞONLU SALATA,4,Ankara Üniversitesi Yemek Listesi
2026-03-19,Perşembe,Öğle,TARHANA ÇORBA | TAVUKLU KAĞIT KEBABI / PATATES KÖFTESİ+YOĞURT | TEREYAĞLI PİRİNÇ PİLAVI | PORTAKAL,4,Ankara Üniversitesi Yemek Listesi
2026-03-20,Cuma,Öğle,MERCİMEK ÇORBASI / KREMALI MANTAR ÇORBA | ET TANTUNİ+LAVAŞ+SUMAKLI SOĞAN SALATASI / KAŞARLI ISPANAK GRATEN | SALÇALI BULGUR PİLAVI | MUZLU MAGNOLİA,4,Ankara Üniversitesi Yemek Listesi
2026-03-21,Cumartesi,Öğle,ŞEHRİYE ÇORBASI / TOYGA ÇORBA | TAVUK ÇÖKERTME / KARIŞIK DOLMA | TEREYAĞLI ERİŞTE | HAVUÇ TARATOR,4,Ankara Üniversitesi Yemek Listesi
2026-03-22,Pazar,Öğle,EZOGELİN ÇORBA / MISIR ÇORBA | KIYMALI PATATES OTURTMA / BEZELYE YEMEĞİ | TEREYAĞLI ŞEHRİYELİ PİRİNÇ PİLAVI | MEVSİM SALATA,4,Ankara Üniversitesi Yemek Listesi
2026-03-23,Pazartesi,Öğle,DOMATES ÇORBA / HAVUÇ ÇORBA | TAVUK ŞİŞ+KÖZ SEBZELER / MANTAR SOTE | SPAGETTİ NAPOLİTEN | CACIK,4,Ankara Üniversitesi Yemek Listesi
2026-03-24,Salı,Öğle,TARHANA ÇORBA / TUTMAÇ ÇORBA | TERBİYELİ ET HAŞLAMA YEMEĞİ / TAZE FASULYE YEMEĞİ | TEREYAĞLI ŞEHRİYELİ PİRİNÇ PİLAVI | BABAGANNUŞ,4,Ankara Üniversitesi Yemek Listesi
2026-03-25,Çarşamba,Öğle,ŞEHRİYE ÇORBASI / YAYLA ÇORBASI | KUŞBAŞILI TAVUKLU TEPSİ KEBABI / MÜCVER+YOĞURT | SALÇALI BULGUR PİLAVI | YEŞİL SALATA,4,Ankara Üniversitesi Yemek Listesi
2026-03-26,Perşembe,Öğle,MERCİMEK ÇORBASI / KÖZ BİBER ÇORBA | KADINBUDU KÖFTE+PATATES PÜRESİ / PIRASA YEMEĞİ | SALÇALI MAKARNA | AYRAN,4,Ankara Üniversitesi Yemek Listesi
2026-03-27,Cuma,Öğle,DOMATES ÇORBA / TERBİYELİ ANADOLU ÇORBA | TAVUK ŞİNİTZEL+ELMA DİLİM PATATES+SOĞAN HALKASI / KABAK KALYE | YOĞURTLU SOSLU MANTI | ÇİĞ KÖFTE+MARUL,4,Ankara Üniversitesi Yemek Listesi
2026-03-28,Cumartesi,Öğle,TARHANA ÇORBA / ETLİ DÜĞÜN ÇORBASI | ETSİZ KURU FASULYE / ŞAKŞUKA | TEREYAĞLI PİRİNÇ PİLAVI | TAHİNLİ KEMALPAŞA,4,Ankara Üniversitesi Yemek Listesi
2026-03-29,Pazar,Öğle,EZOGELİN ÇORBA / KREMALI SEBZE ÇORBASI | PÜRELİ KEBAP / HALEP DOLMA+YOĞURT | BEYAZ PEYNİRLİ MAKARNA | MEVSİM SALATA,4,Ankara Üniversitesi Yemek Listesi
2026-03-30,Pazartesi,Öğle,"ŞEHRİYE ÇORBASI / TOYGA ÇORBA | ÇITIR TAVUK BURGER(80-100 GR HAMBURGER EKMEĞİ İÇERİSİNDE DOMATES, MARUL, KORNİŞON TURŞU İLE) / KAŞARLI KARNABAHAR GRATEN | PATATES KIZARTMASI | AYRAN",4,Ankara Üniversitesi Yemek Listesi
2026-03-31,Salı,Öğle,MERCİMEK ÇORBASI / KREMALI MANTAR ÇORBA | SEBZELİ KÖFTE / PATLICAN YEMEĞİ | TEREYAĞLI PİRİNÇ PİLAVI | KURU CACIK,4,Ankara Üniversitesi Yemek Listesi
