tarih,gun,ogun,yemekler,kalem_sayisi,kaynak
2025-11-01,Cumartesi,Akşam,TARHANA ÇORBA | ETLİ KURU FASÜLYE | ŞEHRİYELİ PİRİNÇ PİLAVI/TURŞU | AYRAN,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-02,Pazar,Akşam,MISIR ÇORBA | ORMAN KEBAP | BULGUR PİLAVI | MEYVE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-03,Pazartesi,Akşam,EZOGELİN ÇORBA | SAHAN KÖFTE | CEVİZLİ ERİŞTE | FRAMBUAZ SOSLU MUHALLEBİ,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-04,Salı,Akşam,KIRMIZI MERCİMEK ÇORBA | KÖRİ SOSLU TAVUK | SOSLU MAKARNA | YOĞURT,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-05,Çarşamba,Akşam,KÖYLÜM ÇORBA | ETLİ MEVSİM TÜRLÜ | ŞEHRİYELİ PİRİNÇ PİLAVI | HAYDARİ,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-06,Perşembe,Akşam,YOĞURT ÇORBA | MİSKET KÖFTE | NOHUTLU PİRİNÇ PİLAVI | ŞEKERPARE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-07,Cuma,Akşam,YEŞİL MERCİMEK ÇORBA | ADANA KEBAP/BULGUR PİLAVI | MENEKŞE SALATA | AYRAN,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-08,Cumartesi,Akşam,ŞEHRİYE ÇORBA | ÇİFTLİK KEBAP | SADE PİRİNÇ PİLAVI | CACIK,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-09,Pazar,Akşam,KIRMIZI MERCİMEK ÇORBA | IZGARA TAVUK BUT/PATATES GARNİTÜR | SOSLU SPAGETTİ | MEYVE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-10,Pazartesi,Akşam,FESLEĞENLİ DOMATES ÇORBA | İZMİR KÖFTE | SU BÖREĞİ | KOKTEYL HOŞAF,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-11,Salı,Akşam,ŞEHRİYE ÇORBA | ETLİ NOHUT | BULGUR PİLAVI/TURŞU | FINDIKLI KEŞKÜL,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-12,Çarşamba,Akşam,KIRMIZI MERCİMEK ÇORBA | SOSLU SEBZELİ TAVUK | YOĞURTLU MANTI MAKARNA | MISIRLI AYSBERG,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-13,Perşembe,Akşam,TARHANA ÇORBA | KIRKAĞAÇ KÖFTE | ZEYTİNLİ ERİŞTE | MEYVE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-14,Cuma,Akşam,YEŞİL MERCİMEK ÇORBA | TAS KEBAP | ARPA ŞEHRİYE PİLAVI | HAVUÇ TARATOR,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-15,Cumartesi,Akşam,YARMALI YOĞURTÇORBA | ETLİ BEZELYE | SADE PİRİNÇ PİLAVI | CEVİZLİ BAKLAVA,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-16,Pazar,Akşam,KIRMIZI MERCİMEK ÇORBA | PİLAV ÜSTÜ TAVUK DÖNER | MENEKŞE SALATA | AYRAN,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-17,Pazartesi,Akşam,SEBZE ÇORBA | ÇOBAN KAVURMA | FİRİK PİLAVI | YOĞURT,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-18,Salı,Akşam,KÖYLÜM ÇORBA | İÇLİ KÖFTE | SEBZE BUKETİ | TRİLEÇE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-19,Çarşamba,Akşam,TARHANA ÇORBA | TAVUK TALEKS | SOSLU MAKARNA | MEYVE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-20,Perşembe,Akşam,YOĞURT ÇORBA | ETLİ KURU FASÜLYE | ŞEHRİYELİ PİRİNÇPİLAVI/TURŞU | TULUMBA TATLISI,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-21,Cuma,Akşam,ALACA ÇORBA | MECİDİYE KÖFTE | ISPANAKLI KOL BÖREĞİ | AYRAN,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-22,Cumartesi,Akşam,EZOGELİN ÇORBA | IZGARA TAVUK BUT/SEBZE GARNİTÜR | SOSLU SPAGETTİ | YOĞURT,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-23,Pazar,Akşam,KIRMIZI MERCİMEK ÇORBA | ETLİ TAZE FASÜLYE | SADE PİRİNÇ PİLAVI | SADE KEŞKÜL,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-24,Pazartesi,Akşam,ŞEHRİYE ÇORBA | HAMBURGER | ELMA DİLİM PATATES/KETÇAP-MAYONEZ | MEYVE SUYU,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-25,Salı,Akşam,HAVUÇ ÇORBA | IZGARA TAVUK PİRZOLA/PATATES GARNİTÜR | SOSLU MAKARNA | MEYVE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-26,Çarşamba,Akşam,EZOGELİN ÇORBA | ET TANTUNİ | PATATESLİ KOL BÖREĞİ | TRİLEÇE,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-27,Perşembe,Akşam,TARHANA ÇORBA | LAHMACUN | MENEKŞE SALATA | AYRAN,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-28,Cuma,Akşam,YAYLA ÇORBA | ETLİ NOHUT | BULGUR PİLAVI/TURŞU | MENEKŞE SALATA,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-29,Cumartesi,Akşam,KIRMIZI MERCİMEK ÇORBA | BARBEKÜ SOSLU TAVUK | SOSLU SPAGETTİ | SARIŞINIM TATLI,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2025-11-30,Pazar,Akşam,ALACA ÇORBA | SALÇALI KÖFTE | ŞEHRİYELİ PİRİNÇ PİLAVI | YOĞURT,4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
