tarih,gun,ogun,yemekler,kalem_sayisi,kaynak
2026-01-01,Perşembe,öğle,1 OCAK YILBAŞI TATİLİ,1,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-02,Cuma,öğle,YEŞİL MERCİMEK ÇORBA (200 kkal) | ÇOBAN KAVURMA (478 kkal) | ŞEHRİYELİ PİRİNÇ PİLAVI (435 kkal) | HAYDARİ (181 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-05,Pazartesi,öğle,KÖYLÜM ÇORBA (206 kkal) | LAHMACUN (711 kkal) | MENEKŞE SALATA (84 kkal) | AYRAN (64 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-06,Salı,öğle,TARHANA ÇORBA (176 kkal) | BARBEKÜ SOSLU TAVUK BİFTEK/SEBZE GARNİTÜR (601 kkal) | PATATESLİ KOL BÖREĞİ (494 kkal) | FINDIKLI KEŞKÜL (358 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-07,Çarşamba,öğle,DOMATES ÇORBA (248 kkal) | İÇLİ KÖFTE (497 kkal) | SEBZE GRATEN (336 kkal) | MEYVE (80 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-08,Perşembe,öğle,YAYLA ÇORBA (188 kkal) | ETLİ NOHUT (422 kkal) | BULGUR PİLAVI/TURŞU (378 kkal) | FRAMBUAZ RÜYASI (302 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-09,Cuma,öğle,KIRMIZI MERCİMEK ÇORBA (204 kkal) | KAJUN BAHARATLI TAVUK/KETÇAP-MAYONEZ (663 kkal) | SOSLU SPAGETTİ (456 kkal) | COLESLAW (107 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-12,Pazartesi,öğle,ALACA ÇORBA (194 kkal) | PİLAV ÜSTÜ TAVUK DÖNER (547 kkal) | MENEKŞE SALATA (84 kkal) | AYRAN (64 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-13,Salı,öğle,EZOGELİN ÇORBA (233 kkal) | HAMBURGER (750 kkal) | ELMA DİLİM PATATES/KETÇAP-MAYONEZ (335 kkal) | EKLER PASTA (359 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-14,Çarşamba,öğle,YAYLA ÇORBA (188 kkal) | ÇİFTLİK KEBAP (724 kkal) | BULGUR PİLAVI (373 kkal) | TURŞULU MENEKŞE SALATA (84 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
2026-01-15,Perşembe,öğle,KIRMIZI MERCİMEK ÇORBA (204 kkal) | ISPANAK YATAĞINDA IZGARA TAVUK (533 kkal) | ŞEHRİYELİ PİRİNÇ PİLAVI (435 kkal) | KAKAOLU PUDİNG (318 kkal),4,https://www.kykyemeklistesi.com.tr/Ankara-yemek-listesi
